3 3 0 F...BDF...BD..AABDE.GG..E.....E...CC E99 B99 A99
3 3 0 F.....F...B.EAA.B.EGG.BDE....DCC...D C96 G99 D97
3 3 0 ......F...B.FAA.BDE.GGBDE....DE...CC E99 D98 F99
3 3 0 F...BDF...BDAA..BDE.GG..E.....E...CC E99 B99 A99
3 3 0 F.....F.....EAA.BDE.GGBDE...BDCC.... C96 B99 D98
3 3 0 F...BDF...BD.AA.BDE..GG.E.....E...CC E99 B99 G99
3 3 0 F.....F.....EAA.BDE.GGBDE...BD...CC. C99 B99 D98
3 3 0 F...B.F...B.EAA.B.E.GG.DE....D...CCD C99 B99 D97
3 3 0 F....DF....DE.AA.DE.GGB.E...B.CC..B. C96 B98 A99
3 3 0 F...BDF...BD.AA.BDEGG...E.....E...CC E99 B99 G99
3 3 0 F.....F...B.E.AAB.E.GGBDE....DCC...D C96 D97 A99
3 3 0 F.....F...B.E.AABDE.GGBDE....DCC.... C96 D98 A99
3 3 0 F...BDF...BD.AA.BDE.GG..E.....ECC... C97 E99 B99
3 3 0 F.....F....DEAA.BDE.GGBDE...B....CC. C99 B99 D99
3 3 0 F.....F.....EAA...E.GGBDE...BDCC..BD C96 B98 D97
3 3 0 .....DF...BDFAA.BDEGG.B.E.....E...CC E99 G99 F99
3 3 0 F.....F...BDE.AABDEGG.BDE.........CC G99 D99 A99
3 3 0 .....DF...BDFAA.BDE.GGB.E.....E.CC.. C98 E99 F99
3 3 0 F.....F...B.E.AABDEGG.BDE....D....CC G99 D98 A99
3 3 0 F...BDF...BD.AA.BDE.GG..E.....E.CC.. C98 E99 B99
3 3 0 F.....F...B.EAA.BDEGG.BDE....DCC.... C96 G99 D98
3 3 0 F.....F...B.EAA.BDEGG.BDE....D..CC.. C98 G99 D98
3 3 0 F...BDF...BD.AA.BDE.GG..E.....E..CC. C99 E99 B99
3 3 0 F.....F...B.EAA.BDEGG.BDE....D...CC. C99 G99 D98
3 3 0 F.....F.....EAA..DE.GGBDE...BDCC..B. C96 B98 D98
3 3 0 F.....F...B.E.AAB.E.GGBDE....D.CC..D C97 D97 A99
3 3 0 F...B.F...B..AA.BDE.GG.DE....DE...CC E99 B99 D98
3 3 0 F...BDF...BDE.AABDE.GG..E........CC. C99 B99 A99
3 3 0 F.....F...B.E.AAB.E.GGBDE....D...CCD C99 D97 A99
3 3 0 F...BDF...BDE.AABDE...GGE.........CC B99 G98 A99
3 3 0 F.....F...B.E.AABDE.GGBDE....D...CC. C99 D98 A99
3 3 0 .....DF....DFAA.BDE.GGB.E...B.E...CC E99 B99 F99
3 3 0 F....DF...BD..AABDE.GGB.E.....ECC... C97 E99 A99
3 3 0 F.....F...BDE.AABDE.GGBDE........CC. C99 D99 A99
