2 2 0 ..EEE..CCC..AA...H..BB.H.FF..HDDGGG. G99 F98 I1
2 2 0 ..EEE...CCC.AA...H..BB.H...FFH.DDGGG D99 C99 I1
2 2 0 ..EEE.CCC...AA...H..BB.H...FFH.DDGGG D99 C99 I1
2 2 0 ..EEE..CCC..AA...H..BB.H..FF.HDDGGG. G99 F99 I1
2 2 0 ..EEE..CCC..AA...H..BB.HFF...H.DDGGG D99 F97 I1
2 2 0 ..EEE..CCC..AA...H..BB.H.FF..H.DDGGG D99 F98 I1
2 2 0 ..EEE..CCC.HAA...H..BB.H...FF.DDGGG. G99 H99 I1
2 2 0 ...EEE.CCC..AA...H..BB.H...FFHDDGGG. G99 E99 I1
2 2 0 ...EEE.CCC..AA...H..BB.H...FFH.DDGGG D99 E99 I1
2 2 0 ..EEE...CCC....AAH..BB.H...FFHDD.GGG A97 C99 I1
2 2 0 ..EEE..CCC.....AAH..BB.H.FF..HDD.GGG F98 A97 I1
2 2 0 EEE....CCC..AA...H..BB.H...FFH.DDGGG D99 E98 I1
2 2 0 EEE....CCC..AA...H..BB.H...FFHDDGGG. G99 E98 I1
2 2 0 .EEE...CCC..AA...H..BB.H...FFH.DDGGG D99 E99 I1
2 2 0 ..EEE..CCC...AA..H..BB.HFF...HDD.GGG F97 A99 I1
2 2 0 ..EEEH.CCC.HAA...H..BB.....FF..DDGGG D99 H98 I1
2 2 0 .EEE...CCC....AA.H..BB.H...FFHDD.GGG A98 E99 I1
2 2 0 .EEE...CCC...AA..H..BB.H...FFHDD.GGG A99 E99 I1
2 2 0 .EEE...CCC..AA...H..BB.H...FFHDDGGG. G99 E99 I1
2 2 0 ..EEE..CCC.....AAH...BBH...FFHDD.GGG B99 A97 I1
2 2 0 EEE....CCC.....AAH..BB.H...FFHDD.GGG A97 E98 I1
2 2 0 .EEE...CCC..AA...H..BB.HFF...HDD.GGG F97 E99 I1
2 2 0 .EEE...CCC..AA...H..BB.H.FF..HDD.GGG F98 E99 I1
2 2 0 ..EEE..CCC....AA.H...BBH...FFHDD.GGG B99 A98 I1
2 2 0 ..EEE.CCC.....AA.H..BB.H...FFHDD.GGG A98 C99 I1
2 2 0 ..EEE.CCC....AA..H..BB.H...FFHDD.GGG A99 C99 I1
2 2 0 ..EEE..CCC..AA......BB.H...FFHDDGGGH G99 H99 I1
2 2 0 ..EEE..CCC...AA..H...BBH...FFHDD.GGG B99 A99 I1
2 2 0 ..EEE.CCC...AA...H..BB.HFF...HDD.GGG F97 C99 I1
2 2 0 ..EEE.CCC...AA...H..BB.H.FF..HDD.GGG F98 C99 I1
2 2 0 ..EEE....CCCAA...H...BBH...FFHDD.GGG B99 C98 I1
2 2 0 .EEE..CCC...AA...H..BB.H...FFHDD.GGG C99 E99 I1
2 2 0 ..EEE...CCC...AA.H..BB.H...FFHDD.GGG A98 C99 I1
2 2 0 ..EEEH.CCC.HAA...H..BB.....FF.DDGGG. G99 H98 I1
2 2 0 ..EEE...CCC.AA...H...BBH...FFHDD.GGG B99 C99 I1
2 2 0 ..EEE...CCC..AA..H..BB.H...FFHDD.GGG A99 C99 I1
2 2 0 ..EEE.CCC......AAH..BB.H...FFHDD.GGG A97 C99 I1
2 2 0 ..EEE..CCC.....AAH..BB.HFF...HDD.GGG F97 A97 I1
2 2 0 ..EEE...CCC.AA...H..BB.HFF...HDD.GGG F97 C99 I1
2 2 0 ..EEE.CCC...AA...H...BBH...FFHDD.GGG B99 C99 I1
2 2 0 ..EEE...CCC.AA...H..BB.H.FF..HDD.GGG F98 C99 I1
